destination,country_or_territory,current_visa_code,proposed_visa_type,visa_note,visa_checked_at,visa_source_url,verification_status
Мальдивы,Мальдивы,П,,,,,verified
Сейшелы,Сейшелы,П,,,,,verified
Маврикий,Маврикий,П,,,,,unverified
"Занзибар, Танзания",Танзания,П,,Курортный регион/островная часть; не отдельное государство,,,unverified
Мадагаскар · Nosy Be,Мадагаскар,П,,Остров Nosy Be; не вся страна,,,unverified
Коморы,Коморы,П,,,,,unverified
Оман · Маскат и Дайманият,Оман,П,,Регион: Маскат и архипелаг Дайманият,,,unverified
ОАЭ · Фуджейра,ОАЭ,Б,,Эмират Фуджейра; не вся страна,,,unverified
Египет · Красное море,Египет,П,,Курортное побережье Красного моря,,,unverified
Иордания · Акаба,Иордания,П,,Город/зона Акаба,,,unverified
Катар · Доха,Катар,П,,Город Доха,,,unverified
Турция · Анталья и Каш,Турция,Б,,Курортный регион: Анталья и Каш,,,verified
Черногория,Черногория,Б,,,,,unverified
Албания,Албания,Б,,,,,unverified
Тунис,Тунис,Б,,,,,unverified
Грузия · Батуми,Грузия,Б,,Город Батуми,,,verified
Бали и Нуса-Пенида,Индонезия,П,,Остров/регион; не отдельное государство,,,unverified
Комодо и Флорес,Индонезия,П,,Острова Комодо и Флорес; не отдельное государство,,,unverified
Таиланд · Пхукет и Краби,Таиланд,П,,Курортный регион: Пхукет и Краби,,,unverified
Таиланд · Самуи и Тао,Таиланд,П,,Острова Самуи и Тао,,,unverified
Вьетнам · Фукуок,Вьетнам,Б,,Остров Фукуок,,,unverified
Вьетнам · Нячанг и Дананг,Вьетнам,Б,,Курортные города: Нячанг и Дананг,,,unverified
Шри-Ланка · юго-запад,Шри-Ланка,П,,Регион: юго-запад страны,,,unverified
Шри-Ланка · восток,Шри-Ланка,П,,Регион: восток страны,,,unverified
Малайзия · Лангкави и Пенанг,Малайзия,Б,,Регион: Лангкави и Пенанг,,,unverified
Малайзия · Сабах и Сипадан,Малайзия,Б,,Регион: Сабах и Сипадан,,,unverified
Камбоджа · Сиануквиль,Камбоджа,П,,Курортный город Сиануквиль,,,unverified
Куба,Куба,Б,,,,,unverified
Доминиканская Республика,Доминиканская Республика,П,,,,,unverified
Барбадос,Барбадос,Б,,,,,unverified
Малые Антильские острова,Малые Антильские острова,Б,,Архипелаг/регион; несколько государств и заморских территорий,,,unverified
Ямайка,Ямайка,П,,,,,unverified
Белиз,Белиз,П,,,,,unverified
Панама,Панама,Б,,,,,unverified
Бразилия · северо-восток,Бразилия,Б,,Регион: северо-восток страны,,,unverified
Фиджи,Фиджи,Б,,,,,unverified
Вануату,Вануату,Б,,,,,unverified
Самоа,Самоа,Б,,,,,unverified
Тонга,Тонга,П,,,,,unverified
Палау,Палау,П,,,,,unverified
Острова Кука,Острова Кука,Б,,Островное территориальное образование; не отдельное суверенное государство в классическом смысле,,,unverified
